half 一半
worried 担心的
film 电影
street 街
ferry 渡船
attention 注意
traffic 交通
Christmas 圣诞节
comic 滑稽的
picnic 野餐
national 国家的
each 各自
bring 带来
symbol 象征
hard 坚硬的
dry 干旱的
climb 爬 上升
road 路
later 后来
blonde 金色的
actor 演员
actress 女演员
criminal 犯罪的
another 另一个
yet 还没
mutton 羊肉
artist 艺术家
jeans 牛仔裤
describe 描述
crime 违法行为
porridge 燕麦粥
meat 肉
large 巨大的
order 顺序
candle 蜡烛
be good with 善于应付...的
take 拿
cave 山洞
delicious 美味的
sweet 甜的
leaf 树叶
goal 目标
shall 将要
puzzle 迷
share 分享
coach 教练
pilot 飞行员
still 还是
sad 悲伤的
afraid 害怕的
other 其它的
each 各自
chase 追逐
breath 呼出的气
artist 艺术家
crime 违法行为
criminal 犯罪的
large 巨大的
order 顺序
yet 还没
jeans 牛仔裤
answer 答复
candle 蜡烛
porridge 燕麦粥
tennis 网球
bat 蝙蝠 球棒，球拍
tidy 整洁的
boring 无聊的
great 大的
with 和...一起
pair 一双
shorts 短裤
sell 卖
art 艺术
festival 节日
free 自由的
subject 学科
term 术语 学期
both 两个都
hotel 宾馆
broken 破损的
travel 旅行
cheetah 猎豹
could 能
shadow 阴影
hall 门厅，走廊
lamp 灯
till 直到
attention 注意
cycling 骑自行车
lick 舔
comic 滑稽的
race 赛跑
thought 想法
stuck 卡住的
well 好
hear 听见
hurt 使受伤
pull 拉
mud 泥
practice 实践
daughter 女儿
scary 引起恐慌的
quite 相当
excellent 极好的
guide 指南
exciting 激动的
tent 帐篷
natural 自然的
worried 担心的
secretary 秘书
past 过去的
taste 味道
paint 油漆
still 还是
each 各自
rule 规则
arrive 到达
practice 实践
pet 宠物
soon 不久
dry 干的
road 路
climb 爬
blonde 金色的
air 空气
later 后来
actor 演员
grow 成长
quite 相当
excellent 极好的
